,c1,sentiment_neg,sentiment_pos,sentiment_neu,sentiment_compound,sentiment
39,"""i completed postgraduation 2016. im currently working associate professor d.y. university school ayurveda. dont know possible convey words sense gratitude towards rsbkv dept. want say depth heart interesting fulfilling course was, dynamic teachers it. work teacher, pleased grateful experience wonderful teaching intriguing course help teaching better. thank you.""",0.0,0.307,0.693,0.9921,positive
40,grateful teachers inculcating view towards ayurveda modern medicine collaboratively helped lot.,0.0,0.12,0.88,0.4588,positive
41,students constantly motivated encouraged here. blessed well-qualified staff equipment pleasant environment students. entire scenario brings enough upbringings young students field ayurveda.,0.0,0.261,0.739,0.9136,positive
42,"""our kriya sharir supportive, helpful. staff members well versed basic principles ayurved. students indeed blessed applied knowledge & practical approach.""",0.0,0.271,0.729,0.8896,positive
43,years learning experience me. thankful healthy & enthusiastic environment provided research work.,0.0,0.352,0.648,0.91,positive
44,fortune could part department. subject core ayurveda samhita study done here. teachers helpful knowledgeable. always supported every huddle pg study. thankful samhita siddhant bvducoa now.,0.0,0.185,0.815,0.9272,positive
45,"""i consider lucky opportunity train samhita siddhant highly qualified, knowledgeable yet humble teachers department. rate five five stars teaching staff, library, digital resources, electronic facilities important - passion teach.""",0.0,0.175,0.825,0.882,positive
46,excellent co-operative along knowledgeable faculties.,0.0,0.497,0.503,0.836,positive
47,"""department well-equipped dissection hall full-time andwell qualified staff pg teacher recognition faculties. thedepartment well disciplined. teachers student friendly helpfulandtheyareaccessibleinthedepartmentandalwaysreadytosolvestu dent academic difficulty. faculty uses modern teaching aids like lcd,web sources well nontraditional methods like group discussion forteaching.""",0.042,0.215,0.744,0.8402,positive
48,well equipped department. sincere enthusiastic staff. students receive useful knowledge regarding subject. equipped various instruments museum hall well developed.,0.0,0.382,0.618,0.9001,positive
49,"""being amongst completed bachelor's, master's, ph. d. single institute always unique, journey innovation healthcare kicked along poona college pharmacy. owe gratitude alma mater enabling us believe special preparing us embrace ever-evolving global challenges. must say poona college pharmacy prestigious pharmacy colleges country, imparting industry-leading education in-house expertise driving excellence.""",0.0,0.161,0.839,0.936,positive
50,"""overall, great experience lifetime memory pcp. want excellent career pharma field, would highly recommend join pcp. great place learn sharpen skills.""",0.0,0.355,0.645,0.9531,positive
51,"""bvdu poona college pharmacy helped emerging industry leader. always high ambitions needed program allowed push myself. standard education, knowledge within field something every college provide.""",0.0,0.0,1.0,0.0,neutral
52,"""through education work experience, found want future. realized professional experience higher education important achieve future goal. pcp given kind platform. proud pcpian.""",0.0,0.131,0.869,0.6697,positive
53,"""bvdu pcp prepared lead industry. science student, interested pharmacology. college helped leader industry. great associated college.""",0.0,0.214,0.786,0.8271,positive
54,"""studying bharat vidyapeeth universitywas big dream competentespecially clinical optometry whole aspect binocular vision issue experience had, school optometry found nowhere. bvp place education fun sandwiched.""",0.0,0.145,0.855,0.743,positive
55,"""it nice see using herbs plants cure many illnesses. combination cure cancer. side, mix ayurvedic technology modern science help cure help us way curing disease. explanation dr neeta given help elaboration research.thank time kindness.""",0.094,0.173,0.733,0.6486,positive
56,gratified finished college bharati vidyapeeth deemed university new law college. professors experts respective fields provide excellent knowledge students,0.0,0.254,0.746,0.871,positive
57,"""my 5-year journey nlc, pune, things could happen me. changed individual well professional.""",0.0,0.195,0.805,0.743,positive
58,atmosphere conducive creative productive learning students freely meet talk faculty members. helps create excellent learning environment.i grateful sarda sir faculty members staff everything.,0.0,0.33,0.67,0.9451,positive
59,time spent campus always hold special place heart. new law college place met brilliant minds canopy warmest inspiring faculty members.i proud endorse represent great institution.,0.0,0.369,0.631,0.9769,positive
60,nlc pune given memories. given many opportunities grow. luxury interning part. sarda sir sheetal maam favourite faculty members.,0.0,0.217,0.783,0.8744,positive
61,"""this college taught law also taught move ahead life tackle outside world.the college faculty taught us study general law procedural law also taught us study jungle law, competition survival fittest.""",0.0,0.0,1.0,0.0,neutral
