,c1,sentiment_neg,sentiment_pos,sentiment_neu,sentiment_compound,sentiment
3236,,0.0,0.0,0.0,0.0,neutral
3237,"""slipstream meanders lucidity film's end",0.0,0.0,1.0,0.0,neutral
3238,"""just sure know delirious going close",0.0,0.315,0.685,0.3182,positive
3239,"""a joyously raucous",0.0,0.661,0.339,0.5994,positive
3240,one spared whip-smart comedy entertainment industry.,0.0,0.57,0.43,0.6486,positive
3241,"""the story's surprises range clever annoying",0.255,0.462,0.283,0.296,positive
3242,"""a high-energy rags-to-riches satire deranged new york paparazzo wannabe thesp",0.0,0.0,1.0,0.0,neutral
3243,"""buscemi proves one great character actors role paparazzo feels regularly betrayed--by parents",0.0,0.272,0.728,0.6249,positive
3244,"""one savvy",0.0,0.0,1.0,0.0,neutral
3245,"""while delirious sophistication dicillo's living oblivion",0.0,0.0,1.0,0.0,neutral
3246,"""a poignant satire national craze celeb culture",0.211,0.0,0.789,-0.1531,negative
3247,"""with delirious",0.0,0.0,1.0,0.0,neutral
3248,movie exhilarating way hard-won knowledge world be.,0.0,0.31,0.69,0.4019,positive
3249,"""off beat best sense term; surprisingly successful theme could easily gone gully hole corn; """"delirious"""" delivers.""",0.0,0.512,0.488,0.9118,positive
3250,"""tom dicillo's delirious mild midnight cowboy",0.0,0.0,1.0,0.0,neutral
3251,"""in end",0.0,0.0,1.0,0.0,neutral
3252,"""the prickly camaraderie buscemi pitt puts delirious back track",0.192,0.0,0.808,-0.2263,negative
3253,"""despite plot holes",0.0,0.0,1.0,0.0,neutral
3254,tom dicillo’s angry comedy delirious subjects modern celebrity culture microscopic examination shows toxic virus fame squirming lens.,0.145,0.238,0.617,0.2732,positive
3255,"""the overall",0.0,0.0,1.0,0.0,neutral
3256,,0.0,0.0,0.0,0.0,neutral
3257,achingly funny film also little sad around edges.,0.24,0.248,0.513,0.024,positive
3258,"""the film's got good",0.0,0.492,0.508,0.4404,positive
3259,"""too many different stories vying attention",0.0,0.0,1.0,0.0,neutral
3260,"""there's enough retro modern social satire support comical efforts talented cast adding layers emotional nuance. alison lohman (""""white oleander"""") remains rising star yet another inspired performance surprises",0.0,0.366,0.634,0.8934,positive
3261,"""delirious",0.0,0.0,1.0,0.0,neutral
3262,"""short",0.0,0.0,1.0,0.0,neutral
3263,"""at chaotic",0.762,0.0,0.238,-0.4939,negative
3264,"""delirious funny",0.0,0.744,0.256,0.4404,positive
3265,buscemi makes pathetic potentially lethal shutterbug figure surprising humor compassion.,0.219,0.426,0.355,0.3612,positive
3266,"""there hilarious scenes",0.0,0.574,0.426,0.4019,positive
3267,"""a lark",0.0,0.0,1.0,0.0,neutral
3268,"""it would nice see sharp",0.0,0.412,0.588,0.4215,positive
3269,"""dicillo gets celebrity culture erode person's dignity self-worth",0.0,0.278,0.722,0.4019,positive
3270,"""in spite off-tone moments thematic distractions",0.574,0.0,0.426,-0.6597,negative
3271,prickly look poisonous nature celebrity unsavory subculture breeds around edges.,0.548,0.0,0.452,-0.8176,negative
3272,"""delirious",0.0,0.0,1.0,0.0,neutral
3273,"""...it depends consistently plot contrivances movies (the king comedy",0.0,0.238,0.762,0.3612,positive
3274,"""someday",0.0,0.0,1.0,0.0,neutral
3275,"""tom dicillo's delirious",0.0,0.0,1.0,0.0,neutral
3276,great romp steve buscemi michael pitt time lives. especially fun see pitt something completely different.,0.0,0.372,0.628,0.8268,positive
3277,"""dicillo finds comedy tragic",0.4,0.333,0.267,-0.128,negative
3278,dicillo's spot-on writing -- exceptional performances buscemi pitt -- creates touching vivid friendship stabilizes film.,0.0,0.278,0.722,0.6124,positive
3279,"""with delirious",0.0,0.0,1.0,0.0,neutral
3280,"""the jokes sparse predictable",0.0,0.4,0.6,0.25,positive
3281,"""the movie provocative little pleasure",0.0,0.46,0.54,0.5279,positive
3282,"""i wish get chance see theater like",0.0,0.643,0.357,0.7351,positive
3283,"""dicillo ultimately grounded eccentric",0.0,0.0,1.0,0.0,neutral
3284,"""as always",0.0,0.0,1.0,0.0,neutral
3285,mature paparazzi drama quite focus.,0.0,0.412,0.588,0.4215,positive
3286,"""this satirical comedy connoisseur's delight",0.0,0.681,0.319,0.7506,positive
3287,"""for time-worn situations observations",0.0,0.0,1.0,0.0,neutral
3288,victim vitriol.,0.677,0.0,0.323,-0.2732,negative
3289,03-12-2007,0.0,0.0,1.0,0.0,neutral
3290,dicillo's themes loyalty friendship betrayal redemption.,0.288,0.485,0.227,0.3818,positive
3291,"""underwritten overplayed",0.0,0.0,1.0,0.0,neutral
3292,"""the film broadly funny previous dicillo-buscemi collaboration living oblivion",0.0,0.266,0.734,0.4404,positive
3293,"""it's sharp indie gems mid-1990s",0.0,0.0,1.0,0.0,neutral
3294,leaves us old familiar empty hollywood storyline world celebrity culture.,0.167,0.0,0.833,-0.2023,negative
3295,steve buscemi michael pitt easily best odd couple movies seen since walter matthau jack lemmon.,0.11,0.316,0.574,0.6486,positive
3296,,0.0,0.0,0.0,0.0,neutral
3297,,0.0,0.0,0.0,0.0,neutral
3298,"""delirious definitive dicillo: goofy cartoonish edges",0.0,0.0,1.0,0.0,neutral
3299,delirious sizzles long loiters r. crumb universe geeky losers keep homicidal urges least barely check.,0.278,0.0,0.722,-0.6124,negative
3300,steve buscemi's adaptation preserves original's biting basic scenario adding americanizing tweaks tale.,0.0,0.0,1.0,0.0,neutral
3301,"""to credit",0.0,0.722,0.278,0.3818,positive
3302,"""while never dull",0.0,0.53,0.47,0.3089,positive
3303,"""it smart film humor",0.0,0.706,0.294,0.5859,positive
3304,"""buscemi's adaptation slain director theo van gogh's 2003 film aims sexually emotionally charged drama power games",0.107,0.0,0.893,-0.2023,negative
3305,"""no surprise buscemi carry kind performance",0.0,0.579,0.421,0.6705,positive
3306,"""interview harrowing experience",0.0,0.0,1.0,0.0,neutral
3307,"""interview chiefly showcase actors steve buscemi sienna miller",0.0,0.0,1.0,0.0,neutral
3308,"""this toxic hate first sight sly entrapment deliciously wicked concoction mutual suspicion",0.471,0.141,0.388,-0.7783,negative
3309,least concrete artificial buscemi's films. that's much situation buscemi david schechter's slippery script.,0.0,0.0,1.0,0.0,neutral
3310,charms large part due performances two stars.,0.0,0.326,0.674,0.4404,positive
3311,driven really smart script strong performances one unlikely film pairings many years.,0.0,0.396,0.604,0.762,positive
3312,"""this veneer pseudo-adult psychological realism stop film trashy",0.239,0.0,0.761,-0.296,negative
3313,doubts whether sienna miller gifted actress laid rest interview.,0.216,0.0,0.784,-0.296,negative
3314,"""you able take eyes screen terrific psychological game cat mouse unfolds. incredibly sexy sienna miller burns screen raw",0.0,0.298,0.702,0.7778,positive
3315,"""it's mesmerizing multiple levels",0.0,0.0,1.0,0.0,neutral
3316,"""sprawling intriguing capital directions",0.0,0.0,1.0,0.0,neutral
3317,hums life,0.0,0.0,1.0,0.0,neutral
3318,"""premise dutch film's remake seems less believable",0.0,0.0,1.0,0.0,neutral
3319,"""the back-and-forth performers tensely choreographed",0.355,0.0,0.645,-0.296,negative
3320,"""buscemi's interview moves forward static bursts contained avid",0.0,0.239,0.761,0.296,positive
3321,"""interview say anything new regarding obsession celebrity",0.286,0.0,0.714,-0.34,negative
3322,"""since unconvincing",0.0,0.0,1.0,0.0,neutral
3323,"""interview mannered",0.0,0.0,1.0,0.0,neutral
3324,"""pierre weasel",0.0,0.0,1.0,0.0,neutral
3325,"""director steve buscemi faulted filmmaking acting skills",0.286,0.0,0.714,-0.34,negative
3326,there's nothing meets eye.,0.0,0.0,1.0,0.0,neutral
3327,"""buscemi creates intriguing",0.0,0.512,0.488,0.2732,positive
3328,"""miller good -- dumb",0.402,0.354,0.244,-0.1027,negative
3329,"""buscemi play hangdog cynic better anyone",0.224,0.495,0.28,0.4404,positive
3330,"""interview literate",0.0,0.0,1.0,0.0,neutral
3331,"""vaporous chilled freezing",0.412,0.0,0.588,-0.1027,negative
3332,buscemi's strength build characters well director star.,0.0,0.515,0.485,0.6486,positive
3333,"""at film's end",0.0,0.0,1.0,0.0,neutral
3334,,0.0,0.0,0.0,0.0,neutral
3335,"""though pic talky anything erich rohmer",0.0,0.0,1.0,0.0,neutral
3336,"""i frankly could care either people screen. comes spoiled",0.0,0.286,0.714,0.4939,positive
3337,"""steve buscemi sienna miller exude raw sensuality steamy",0.0,0.0,1.0,0.0,neutral
3338,"""i've sat many claustrophobic examples genre forgot exhilarating",0.0,0.278,0.722,0.4019,positive
3339,"""""""interview"""" actor's showcase movie could",0.0,0.0,1.0,0.0,neutral
3340,"""there's doubting two actors",0.444,0.0,0.556,-0.34,negative
3341,van gogh received profound posthumous tribute american film industry could possibly bestow tepid fitfully interesting remake 2003 feature name.,0.0,0.13,0.87,0.4019,positive
3342,"""an entertaining two-person talkfest ... nice ending twists like frosting fluffy cake -- really necessary",0.0,0.406,0.594,0.802,positive
3343,"""the results may seem taking place planet earth among verifiable humans",0.0,0.0,1.0,0.0,neutral
3344,"""tension",1.0,0.0,0.0,-0.3182,negative
3345,kind insight find us weekly.,0.0,0.459,0.541,0.5267,positive
3346,"""the impressive thing interview much shock manages muster walloping nonrevelation",0.187,0.237,0.576,0.1779,positive
3347,"""despite fact protagonists equally appalling",0.385,0.0,0.615,-0.3612,negative
3348,sharp dialogue good performances keep interesting. film suggests level talent sienna miller rarely gets chance show.,0.079,0.379,0.542,0.7691,positive
3349,questions miller's abilities actress set rest performance.,0.0,0.25,0.75,0.25,positive
3350,"""despite interesting twists ambiguities",0.429,0.0,0.571,-0.3089,negative
3351,"""kind fascinating",0.0,1.0,0.0,0.7845,positive
3352,"""ultimately",0.0,0.0,1.0,0.0,neutral
3353,"""though i'm familiar van gogh's 2003 version",0.0,0.0,1.0,0.0,neutral
3354,"""the end result showcase buscemi's writing",0.0,0.0,1.0,0.0,neutral
3355,"""as action moves restaurant ultimately katja's spacious loft apartment",0.0,0.0,1.0,0.0,neutral
3356,bad touted twist end telegraphed miles advance.,0.485,0.0,0.515,-0.5719,negative
3357,steve buscemi multi-talented craftsman consistently putting good work.,0.0,0.293,0.707,0.4404,positive
3358,"""a verbal game one-upmanship occasionally gets physical",0.0,0.0,1.0,0.0,neutral
3359,"""a bitter",0.737,0.0,0.263,-0.4215,negative
3360,"""the dialogue cuts like knife",0.286,0.325,0.39,0.0772,positive
3361,mr. buscemi ms. miller prove fully task carrying whole movie shoulders without help characters.,0.148,0.0,0.852,-0.3089,negative
3362,"""like one-act off-broadway play that's wandered onto movie screen...a sporadically amusing talkathon",0.0,0.455,0.545,0.7579,positive
3363,"""interview less like realistic character study theatrical game cat-and-mouse",0.0,0.216,0.784,0.2975,positive
3364,scenes crackle with... intensity. rest wallows glib acrimony cynicism.,0.252,0.0,0.748,-0.4019,negative
3365,"""interview slyly keeps watching",0.0,0.0,1.0,0.0,neutral
3366,"""for starters",0.0,0.0,1.0,0.0,neutral
3367,eminently watchable contest two actors top games.,0.0,0.231,0.769,0.2023,positive
3368,subject matter certainly american enough.,0.0,0.538,0.462,0.3612,positive
3369,"""i'll say buscemi",0.0,0.0,1.0,0.0,neutral
3370,interview moments can't prevent feeling little long winded unsatisfying. premise makes sound interesting in-theater experience delivers.,0.135,0.149,0.716,0.3085,positive
3371,"""a thoughtful",0.0,0.722,0.278,0.3818,positive
3372,"""what they're uninteresting",0.0,0.0,1.0,0.0,neutral
3373,"""stick miller's gutsy tour de force kick watching buscemi",0.0,0.0,1.0,0.0,neutral
3374,buscemi's film conveys spirit source material make satisfying transmogrification homage.,0.0,0.37,0.63,0.5719,positive
3375,"""miller delivers strongest yet performance offbeat black comedy",0.0,0.474,0.526,0.6597,positive
3376,movie keeps falling rhythm picking pace. fitful piece wrong beginnings false ends.,0.32,0.0,0.68,-0.5719,negative
3377,"""interview feels like lab experiment/tribute committed",0.0,0.535,0.465,0.5574,positive
3378,"""a mixed bag realism arch",0.0,0.0,1.0,0.0,neutral
3379,"""after impressive banter hints interesting character insights",0.0,0.545,0.455,0.7184,positive
3380,"""in revealing reporter star's many efforts artifice incapacity truth",0.0,0.223,0.777,0.3182,positive
3381,"""interview smart",0.0,0.73,0.27,0.4019,positive
3382,buscemi miller roundly praised acting chops display thriller.,0.0,0.434,0.566,0.5574,positive
3383,"""interview",0.0,0.0,1.0,0.0,neutral
3384,"""a battle care less two parties' disinterest collides spark-filled festival mutual loathing",0.362,0.38,0.258,0.1082,positive
3385,"""remaking 2003 original slain dutch director theo van gogh",0.0,0.223,0.777,0.3182,positive
3386,"""there something perversely appealing film. maybe way interview astutely comments celebrities perceptions",0.225,0.0,0.775,-0.4939,negative
3387,06-09-2007,0.0,0.0,1.0,0.0,neutral
3388,"""emotional honesty service nonsense still nonsense",0.443,0.393,0.164,-0.1531,negative
3389,07-09-2007,0.0,0.0,1.0,0.0,neutral
3390,"""there precious damn little watching reporter actress trying outsmart could possibly described """"compelling.""""""",0.148,0.306,0.546,0.4404,positive
3391,"""with performance interview",0.0,0.0,1.0,0.0,neutral
3392,rainer werner fassbinder might able make us care characters; buscemi miller able get us concede chops.,0.0,0.176,0.824,0.4939,positive
3393,works better concept execution.,0.0,0.492,0.508,0.4404,positive
3394,stagey enjoyable drama superb performances two leads.,0.0,0.583,0.417,0.7906,positive
3395,media foes face intense indie adult drama.,0.323,0.14,0.538,-0.4019,negative
3396,"""interview essential viewing",0.0,0.0,1.0,0.0,neutral
3397,24-10-2007,0.0,0.0,1.0,0.0,neutral
3398,"""ultimately",0.0,0.0,1.0,0.0,neutral
3399,"""as exercise preconception-shattering",0.0,0.0,1.0,0.0,neutral
3400,"""stagey filming aside",0.0,0.0,1.0,0.0,neutral
3401,"""interview well-made depends almost entirely acting. neither two principals let",0.0,0.0,1.0,0.0,neutral
3402,sienna miller airhead celeb famous sex life movies? quite stretch british actress.,0.0,0.0,1.0,0.0,neutral
3403,"""it pretends games deceit go men women",0.468,0.0,0.532,-0.5267,negative
3404,"""the friskiness pas de deux something",0.0,0.0,1.0,0.0,neutral
3405,"""a talky",0.0,0.0,1.0,0.0,neutral
3406,"""there hardly bigger waste time conceited self-indulgent two-hander directed steve buscemi",0.201,0.0,0.799,-0.3657,negative
3407,"""sienna good job portraying katya blonde",0.0,0.367,0.633,0.4404,positive
3408,constant see-sawing emotion eventually becomes repetitive wearisome.,0.25,0.0,0.75,-0.25,negative
3409,"""there's nicely written dialogue remake foreign movie",0.0,0.326,0.674,0.4404,positive
3410,"""snappy exchanges",0.0,0.0,1.0,0.0,neutral
3411,interview decently acted two-hander fringe play deserve film.,0.0,0.255,0.745,0.34,positive
3412,"""essentially game verbal ping-pong",0.0,0.0,1.0,0.0,neutral
3413,"""interview decent showcase talents stars",0.0,0.429,0.571,0.4588,positive
3414,"""the wonderful thing interview idea going lead. honest",0.0,0.538,0.462,0.7906,positive
3415,can't get sienna miller bandwagon. damn faint praise: perfectly competent actor -- that's it.,0.118,0.443,0.439,0.8126,positive
3416,"""from opening frame final revelation",0.0,0.0,1.0,0.0,neutral
3417,interview comes across like acting exercise workable story.,0.0,0.263,0.737,0.3612,positive
3418,"""even smart ending feels predictable happened: """"move along",0.0,0.278,0.722,0.4019,positive
3419,,0.0,0.0,0.0,0.0,neutral
3420,"""the movie really started good note",0.0,0.389,0.611,0.4902,positive
3421,resulting film boring hour-and-a-half watching two immature adults sink lord flies lowest reason hurl bile vitriol other.,0.246,0.0,0.754,-0.5994,negative
3422,,0.0,0.0,0.0,0.0,neutral
3423,,0.0,0.0,0.0,0.0,neutral
3424,surprising plot. [full review spanish],0.0,0.344,0.656,0.2732,positive
3425,"""a large portion movie given gymnastics competitions",0.0,0.0,1.0,0.0,neutral
3426,odd unbelievably bad movie.,0.753,0.0,0.247,-0.7264,negative
3427,"""hey",0.0,0.0,1.0,0.0,neutral
3428,,0.0,0.0,0.0,0.0,neutral
3429,whole movie may concocted synthesizer.,0.0,0.0,1.0,0.0,neutral
3430,,0.0,0.0,0.0,0.0,neutral
3431,,0.0,0.0,0.0,0.0,neutral
3432,,0.0,0.0,0.0,0.0,neutral
3433,"""cast crew guided director manipulative cliche manipulative cliche",0.0,0.0,1.0,0.0,neutral
3434,characters laughable; gymnastics unattractive. nothing recommend film.,0.491,0.118,0.392,-0.5873,negative
3435,"""it's pretty ridiculous story",0.325,0.416,0.26,0.1779,positive
3436,"""unfortunately",1.0,0.0,0.0,-0.34,negative
3437,"""essentially",0.0,0.0,1.0,0.0,neutral
3438,another example popular art form taken possession appear extraterrestrial moviemakers planet stallone.,0.0,0.203,0.797,0.4215,positive
3439,"""there much raw energy film since rocky. hand kinetic force totally unfocused",0.173,0.306,0.52,0.3197,positive
3440,"""american anthem employs flashy occasionally effective visuals",0.0,0.319,0.681,0.4228,positive
3441,,0.0,0.0,0.0,0.0,neutral
3442,"""uneven often hilarious. bad-taste quotient cranked",0.0,0.351,0.649,0.4019,positive
3443,"""hilarious stuff",0.0,0.73,0.27,0.4019,positive
3444,"""i discovered solid handful worthwhile chuckles flick",0.0,0.604,0.396,0.6249,positive
3445,"""90 minutes random",0.0,0.0,1.0,0.0,neutral
3446,"""let's talk paul rudd. think may every film 2007 that's okay",0.0,0.16,0.84,0.2263,positive
3447,"""the product restless comic imaginations would rather bounce next idea milk previous one every drop. viewers may exhausted barrage",0.295,0.0,0.705,-0.6908,negative
3448,"""the ten",0.0,0.0,1.0,0.0,neutral
3449,"""many films little commandments",0.0,0.0,1.0,0.0,neutral
3450,one problem: movie's funny.,0.355,0.382,0.263,0.0516,positive
3451,film casts oliver platt arnold schwarzenegger impersonator takes name dianne wiest vain gets vote.,0.177,0.0,0.823,-0.4215,negative
3452,"""this anthology promises wild blasphemous",0.0,0.394,0.606,0.3818,positive
3453,"""the ten",0.0,0.0,1.0,0.0,neutral
3454,"""the ten's biggest letdown interstitial sequences featuring paul rudd",0.0,0.0,1.0,0.0,neutral
3455,"""anytime compile series vignettes call feature film",0.0,0.0,1.0,0.0,neutral
3456,"""lacking steady hand",0.0,0.615,0.385,0.4939,positive
3457,"""a slightly patchy tapestry tickles much annoys",0.318,0.0,0.682,-0.4215,negative
3458,"""despite many giddy moments",0.0,0.325,0.675,0.1139,positive
3459,"""a foul-mouthed",0.0,0.0,1.0,0.0,neutral
3460,"""where kieslowski's work always goal sense real people think",0.0,0.0,1.0,0.0,neutral
3461,make much movie.,0.0,0.0,1.0,0.0,neutral
3462,"""like comic masterpieces [woody] allen's '70s heyday",0.0,0.545,0.455,0.7184,positive
3463,"""in spite shortcomings",0.63,0.0,0.37,-0.5267,negative
3464,really mood get ten's forced goofiness.,0.375,0.0,0.625,-0.4588,negative
3465,"""apart occasional bright line amusing throwaway bits business",0.0,0.452,0.548,0.6051,positive
3466,ten never breaks jejune noodling something truly provocative.,0.0,0.293,0.707,0.4404,positive
3467,"""for bible-related fun",0.0,0.623,0.377,0.5106,positive
3468,success (of sketch) varies according quality tickled find -- moment moment -- kind high-wire comedy.,0.0,0.444,0.556,0.8625,positive
3469,everyone involved seems operating presumption gross blasphemous equals hilarious. would did.,0.209,0.182,0.608,-0.1027,negative
3470,lame irritating comedy endurance test sit through.,0.472,0.203,0.325,-0.5106,negative
3471,"""not much blasphemous silly",0.264,0.0,0.736,-0.0191,negative
3472,resoundingly mediocre film commits cardinal sin tedium.,0.371,0.113,0.515,-0.5423,negative
3473,frivolous spoof pointed satire.,0.0,0.0,1.0,0.0,neutral
3474,"""multi-segment movies tend notoriously uneven",0.0,0.0,1.0,0.0,neutral
3475,"""the ten proud wit irreverence fail equally impressed",0.238,0.422,0.34,0.4019,positive
3476,"""too often",0.0,0.0,1.0,0.0,neutral
3477,darkly satiric.,0.0,0.0,1.0,0.0,neutral
3478,"""in words",0.0,0.0,1.0,0.0,neutral
3479,03-08-2007,0.0,0.0,1.0,0.0,neutral
3480,"""a decalogue special-ed students",0.0,0.0,1.0,0.0,neutral
3481,"""this one films humor hit-and-miss variety",0.0,0.296,0.704,0.2732,positive
3482,"""i wish batting average ten little higher",0.0,0.31,0.69,0.4019,positive
3483,filmmakers created 11th commandment own: thou shalt laugh. don't.,0.0,0.444,0.556,0.6808,positive
3484,,0.0,0.0,0.0,0.0,neutral
3485,"""the ten may funniest movie year. earnest",0.0,0.58,0.42,0.7845,positive
3486,"""it's ice-water shock ten turns merely fuse satirical firecracker never quite explodes. expect",0.178,0.0,0.822,-0.3818,negative
3487,"""the comedy hit miss -- mostly hit",0.176,0.275,0.549,0.2263,positive
3488,"""the humor ten hit-or-miss",0.0,0.412,0.588,0.2732,positive
3489,"""the actors good",0.0,0.592,0.408,0.4404,positive
3490,ten devious inspired enough juice past weak spots. thou shalt amused.,0.172,0.355,0.473,0.4767,positive
3491,never really quite works energy wild outrageous clearly wants be.,0.196,0.348,0.456,0.3274,positive
3492,"""this take leave proposition",0.286,0.0,0.714,-0.0516,negative
3493,"""the problem harbor quaint idea comedy needs make laugh.",0.182,0.412,0.405,0.5267,positive
3494,"""by flaunting stupidity",0.592,0.0,0.408,-0.4404,negative
3495,perhaps bible needs 11th commandment: thou shalt bore. might stem misfires ten.,0.154,0.0,0.846,-0.25,negative
3496,"""if ten commandments filmmaking",0.0,0.0,1.0,0.0,neutral
3497,ten nowhere near 10. let's call six.,0.0,0.0,1.0,0.0,neutral
3498,"""the ten meticulous rhythm consistency",0.0,0.0,1.0,0.0,neutral
3499,"""the ten commits mortal sin comedy",0.353,0.353,0.294,-0.25,neutral
3500,monty python need them?,0.0,0.0,1.0,0.0,neutral
3501,"""...the ten wields bad taste like blunt instrument",0.292,0.208,0.5,-0.25,negative
3502,"""not exactly stone-etched last word biblical moviemaking",0.0,0.0,1.0,0.0,neutral
3503,"""there fun film somewhere",0.0,0.524,0.476,0.5106,positive
3504,"""yeah liked movie (with self-proclaimed warped senses humor)",0.0,0.587,0.413,0.7269,positive
3505,"""thou shalt funny. thou",0.0,0.492,0.508,0.4404,positive
3506,"""wain big fan offbeat",0.0,0.434,0.566,0.3182,positive
3507,ridiculous uproariously funny.,0.391,0.453,0.156,0.1027,positive
3508,24-08-2007,0.0,0.0,1.0,0.0,neutral
3509,"""if looking ha-ha funny",0.0,0.492,0.508,0.4404,positive
3510,"""those worried incurring god's wrath seeing ten",0.268,0.0,0.732,-0.296,negative
3511,06-09-2007,0.0,0.0,1.0,0.0,neutral
3512,one guesses talent signed negligible movie good wain marino. maybe ... goof.,0.0,0.363,0.637,0.6908,positive
3513,"""the ten",0.0,0.0,1.0,0.0,neutral
3514,"""three comic segments ten sort funny. three others so-so. remaining four dumb",0.204,0.179,0.617,-0.1027,negative
3515,"""some bits... shockingly funny. others",0.224,0.382,0.395,0.296,positive
3516,segments clueless designated commandment what's supposed funny.,0.24,0.279,0.481,0.1027,positive
3517,blasphemous parody painful sit seems designed almighty punishment heathens sinners.,0.433,0.0,0.567,-0.7269,negative
3518,...brings mind fondly remembered kentucky fried movie/amazon women moon anthos '70s '80s.,0.0,0.209,0.791,0.4404,positive
3519,"""rudd",0.0,0.0,1.0,0.0,neutral
3520,,0.0,0.0,0.0,0.0,neutral
3521,"""the beyond-goofy collection commandment-inspired vignettes funny moments",0.0,0.326,0.674,0.4404,positive
3522,"""more simply unentertaining",0.0,0.0,1.0,0.0,neutral
3523,"""sadly mr. shyamalan",0.583,0.0,0.417,-0.4215,negative
3524,"""the movie demonstrates smart movie geek's obsession rhythms gory details horror storytelling",0.343,0.152,0.506,-0.5267,negative
3525,"""one-hit-wonder m. night shyamalan galvanizes nickname given detractors (""""shyamalama-ding-dong"""") yet another pretentious movie.""",0.0,0.0,1.0,0.0,neutral
3526,"""the movie seems like '50s science fiction film extreme paranoia episode """"the twilight zone"""" even swiftly paced 90 minutes feels padded.""",0.092,0.188,0.72,0.3415,positive
3527,"""effective nonsense",0.466,0.534,0.0,0.1027,positive
3528,"""shhht. say loud",0.0,0.0,1.0,0.0,neutral
3529,nothing happens. shyamalan finally taken ax golden goose.,0.0,0.0,1.0,0.0,neutral
3530,"""minor shyamalan",0.0,0.0,1.0,0.0,neutral
3531,suicide bland.,0.818,0.0,0.182,-0.6705,negative
3532,happening quickly deteriorates worst movie m. night shyamalan's career... that's saying something.,0.272,0.0,0.728,-0.6249,negative
3533,"""the actors try fail look terrified things simply terrifying look",0.615,0.0,0.385,-0.9042,negative
3534,"""but here's real shocker",0.388,0.0,0.612,-0.2263,negative
3535,"""in many ways",0.0,0.0,1.0,0.0,neutral
3536,m. night shyamalan one talented film-makers working today. seems running ideas.,0.0,0.248,0.752,0.5106,positive
3537,one worst attempts end-of-the-world ominousness since robot holocaust battled ninja apocalypse,0.412,0.0,0.588,-0.743,negative
3538,"""after insufferably dense mermaid mythology lady water",0.0,0.0,1.0,0.0,neutral
3539,"""the happening divertingly goofy thriller animistic bent",0.0,0.189,0.811,0.1027,positive
3540,"""the movie inept terms coherent",0.0,0.0,1.0,0.0,neutral
3541,basically junior version sci-fi disaster films ranging war worlds (1953) last year's mist,0.421,0.0,0.579,-0.8402,negative
3542,"""the suicides mostly originally staged creepy hell...mark wahlberg ok",0.0,0.216,0.784,0.296,positive
3543,"""shyamalan far better setup payoff",0.0,0.42,0.58,0.4404,positive
3544,"""a cold pastiche",0.0,0.0,1.0,0.0,neutral
3545,"""happening promises change pace",0.0,0.464,0.536,0.3818,positive
3546,"""there scattered moments craft throughout",0.0,0.0,1.0,0.0,neutral
3547,"""shyamalan's still trying take story seriously-this",0.0,0.0,1.0,0.0,neutral
3548,"""were first 45 minutes happening rattlingly effective",0.0,0.341,0.659,0.4767,positive
3549,"""you know meringue cookies look tempting bakery shelves",0.0,0.0,1.0,0.0,neutral
3550,happening stutter-steps way direction disappointing ending.,0.39,0.0,0.61,-0.4939,negative
3551,"""portraying moments drama danger hitchcockian lack ceremony",0.533,0.0,0.467,-0.6908,negative
3552,"""for complaints recently misunderstood",0.718,0.0,0.282,-0.6249,negative
3553,"""this would seem like deliberate",0.0,0.385,0.615,0.3612,positive
3554,"""as happening",0.0,0.0,1.0,0.0,neutral
3555,"""there seem lot people gunning philadelphia's m. night shyamalan",0.0,0.0,1.0,0.0,neutral
3556,happening wants scare us without providing cause -- trick hitchcock managed.,0.328,0.0,0.672,-0.5267,negative
3557,"""instead shocks",0.722,0.0,0.278,-0.3818,negative
3558,"""excluding moments chilling effectiveness",0.268,0.0,0.732,-0.0258,negative
3559,"""writer-director m. night shyamalan's eco-thriller starts clever premise degenerates spooky atmospherics",0.0,0.231,0.769,0.4588,positive
3560,somewhere happening there's great movie struggling break free. concept fantastic... poor dialogue combined even worse performances make disappointing frustrating 90 minutes film.,0.377,0.274,0.349,-0.4767,negative
3561,"""mia ap' tis pio akompses",0.355,0.0,0.645,-0.296,negative
3562,"""it's shame movie tonal failure",0.681,0.0,0.319,-0.7506,negative
3563,"""i'm always amused sort backlashes shyamalan right now. well",0.0,0.412,0.588,0.5994,positive
3564,"""if mood absurd film alternates boring comedy",0.235,0.255,0.51,0.0516,positive
3565,m. night shyamalan's worst film.,0.506,0.0,0.494,-0.6249,negative
3566,"""it's interesting premise doomsday thriller",0.384,0.414,0.202,-0.1779,positive
3567,trying understand thought process writer director m. night shyamalan akin analyzing jell-o. keeps wiggling binds together? particular circumstance also alfred hitchcock vibe.,0.0,0.0,1.0,0.0,neutral
3568,damned creepy,0.722,0.0,0.278,-0.3818,negative
3569,feeble gust environmental horror story.,0.663,0.0,0.337,-0.7096,negative
3570,woeful clunker paranoid thriller.,0.671,0.192,0.137,-0.5423,negative
3571,"""a patchy",0.0,0.0,1.0,0.0,neutral
3572,"""shyamalan tries give events scientific underpinning. logic spotty",0.0,0.0,1.0,0.0,neutral
3573,silly preachy.,0.0,0.524,0.476,0.0258,positive
3574,shyamalan seems lost sense fine line disturbingly grotesque outright ridiculous. film even seems parody scientific method.,0.37,0.082,0.548,-0.743,negative
